"Tidstämpel","Please enter your Steam Community ID","Please rate the following games [The Elder Scrolls V: Skyrim]","Please rate the following games [Rocket League®]","Please rate the following games [Counter-Strike: Global Offensive]","Please rate the following games [Grand Theft Auto V]","Please rate the following games [RimWorld]","Please rate the following games [Tropico 5]","Please rate the following games [The Witcher® 3: Wild Hunt]","Please rate the following games [Football Manager 2017]","Please rate the following games [Sid Meier’s Civilization® VI]","Please rate the following games [The Sims™ 3]","Please rate the following games [Dota 2]","Please rate the following games [XCOM® 2]","Please rate the following games [Tom Clancy's Rainbow Six® Siege]","Please rate the following games [ARK: Survival Evolved]","Please rate the following games [EVE Online]","Please rate the following games [Orcs Must Die!]","Please rate the following games [DOOM]","Please rate the following games [TowerFall Ascension]","Please rate the following games [Worms Ultimate Mayhem]","Please rate the following games [Portal 2]"
"2017/01/30 3:29:40 fm CET","76561198177635678","Liked strongly","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Liked strongly"
"2017/01/30 3:43:04 fm CET","76561197993425738","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/30 7:29:42 fm CET","76561198066067925","Liked strongly","Don't own this game on steam","Liked","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/30 9:23:27 fm CET","76561198102241594","Liked slightly","Haven't played / No opinion","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly","Disliked","Disliked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Haven't played / No opinion"
"2017/01/30 12:49:35 em CET","76561198058315197","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam"
"2017/01/30 12:50:22 em CET","12345678901234567","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked"
"2017/01/30 3:34:36 em CET","76561198109629747","Liked slightly","Liked","Disliked","Liked slightly","Don't own this game on steam","Don't own this game on steam","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Disliked strongly","Don't own this game on steam","Liked strongly","Don't own this game on steam","Don't own this game on steam","Haven't played / No opinion","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/30 4:41:58 em CET","76561197985825359","Don't own this game on steam","Don't own this game on steam","Liked strongly","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked"
"2017/01/30 5:45:01 em CET","12345678901234567","Liked strongly","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Liked strongly"
"2017/01/30 7:57:01 em CET","76561198253320445","Liked","Liked strongly","Disliked","Liked","Don't own this game on steam","Disliked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked slightly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked"
